k,f_value,grad_norm,step_size,x1,x2,beta,restart
0,884.0,178.2133552795637,,-5.0,-5.0,,True
1,15.3125,22.41093483101497,0.0625,2.75,3.0,0.015813916876574307,False
2,13.693723551615589,21.58107133097663,0.125,0.8076157115869018,1.503022670025189,0.0,True
3,0.8522005570282094,3.1353107107426914,0.0625,1.6763445568324937,2.534825645465995,0.021106448954884564,False
4,0.5125321205765303,2.6289545254052635,0.125,1.332759777381505,2.483504425466286,0.0,True
5,0.4402141120225068,3.0588553672902674,0.125,1.4333056301883376,2.7963641162519233,1.3537913578050327,False
6,0.352446398525432,3.479767511832592,0.125,1.2314275827940193,3.041150086339832,0.0,True
7,0.019084047098287524,0.49346530398969946,0.0625,1.0662103003778411,2.8997174909804273,0.02011003315779673,False
8,0.01179684193068572,0.4231021891481786,0.125,1.077084883869852,2.95317189851251,0.0,True
9,0.010755351546611759,0.49900180782889125,0.125,1.027556880520027,2.934622141502021,1.3909569642308657,False
10,0.010471768668619043,0.6046923152830463,0.125,0.9895973171840836,2.962985670405937,0.0,True
11,0.0004291887895390116,0.08231399975949567,0.0625,1.014606158741063,2.991320967810185,0.018530131938051676,False
12,0.00028312631291050293,0.07335800594618952,0.125,1.0059543267718862,2.9886137129051993,0.0,True
13,0.00011718518211680639,0.023132869744241117,0.0625,1.0079260160868577,2.9927529789535066,0.09944065806411775,False
14,2.951538591562979e-06,0.007660326193854096,0.5,0.998852548502374,3.0005769105565134,0.0,True
15,1.1611519756508419e-06,0.0023188404591429923,0.0625,0.9992812504101338,3.0007900672075056,0.09163200978765701,False
16,5.7503431395335844e-08,0.0012925422034922901,0.5,1.0000289920687053,2.9998709853080823,0.0,True
17,1.0260792266718782e-08,0.00025209789896674274,0.0625,1.0000753793717236,2.9999371234561782,0.03804074271774687,False
