k,f_value,grad_norm,step_size,x,step_norm,beta,restart
0,104.069046875,70.17892380888051,,"[-1.5, -2.4,  2.5,  0. ,  0. ,  0. ,  0. ,  0. ,  0. ,  0. ]",,,True
1,20.68686995778232,25.472039514761022,0.0625,"[ 0.0675  , -0.991875, -1.342207,  0.      ,  0.09375 , -0.13125 ,
  0.      ,  0.05    , -0.0875  ,  0.      ]",4.386182738055032,0.13173889959002724,False
2,4.084801892131518,10.853030956805801,0.125,"[ 0.003947,  1.038965,  0.314267,  0.012891,  0.155951, -0.312394,
  0.      ,  0.149893, -0.160867, -0.009844]",2.6314559049577726,0.18154096681641246,False
3,-0.676952478269274,2.012214953551142,0.125,"[ 0.001571,  0.30218 , -0.165761,  0.023139,  0.106994, -0.337236,
  0.      ,  0.214024, -0.121058, -0.018408]",0.8844057112362911,0.034375312948448,False
4,-0.7695269316175614,1.4509691798283817,0.125,"[-0.103256,  0.158405,  0.010826,  0.013907,  0.124802, -0.31767 ,
  0.      ,  0.220077, -0.124253, -0.011152]",0.25244316489337343,0.5199572415816714,False
5,-0.789111233647766,1.0698881419624333,0.125,"[-0.029044,  0.11382 , -0.020996,  0.011665,  0.12379 , -0.306724,
  0.      ,  0.219261, -0.125108, -0.008533]",0.0929621447465928,0.5437013018018224,False
6,-0.8232703738689665,0.6202991082299989,0.125,"[-0.049041,  0.191839, -0.097812,  0.015219,  0.114279, -0.310255,
  0.      ,  0.21353 , -0.123254, -0.011371]",0.11201563114263337,0.33614415614979953,False
7,-0.8295510743538134,0.40871060771380935,0.125,"[-0.054438,  0.225282, -0.046919,  0.016147,  0.117828, -0.316568,
  0.      ,  0.211089, -0.123273, -0.013114]",0.061643589387227124,0.4341397037377768,False
8,-0.8338967721933171,0.27453983356935135,0.125,"[-0.036799,  0.198412, -0.046879,  0.015797,  0.120564, -0.318009,
  0.      ,  0.212389, -0.124093, -0.012658]",0.032332169026075816,0.4512102044585218,False
9,-0.8340574452612647,0.24034793969110166,0.125,"[-0.05644 ,  0.182021, -0.066304,  0.01563 ,  0.118568, -0.316219,
  0.      ,  0.214645, -0.124055, -0.011856]",0.032322049814576995,0.7664257280807468,False
10,-0.8351489447771516,0.15236595127956878,0.5,"[-0.045226,  0.193299, -0.051384,  0.014685,  0.112209, -0.30935 ,
  0.      ,  0.220444, -0.122162, -0.010684]",0.0245490765103091,0.0,True
11,-0.8356026446331372,0.12731332442302756,0.125,"[-0.053011,  0.194632, -0.061869,  0.014695,  0.122194, -0.316545,
  0.      ,  0.214758, -0.124283, -0.012141]",0.0190457439099461,0.6981871675049133,False
12,-0.8356820634447498,0.09674966515535016,0.125,"[-0.046942,  0.19498 , -0.060148,  0.016074,  0.123175, -0.320934,
  0.      ,  0.210484, -0.125026, -0.013178]",0.009052422789206906,0.5774989832756969,False
13,-0.8358756332193428,0.0763178054086561,0.125,"[-0.046745,  0.194968, -0.053374,  0.016929,  0.116372, -0.317916,
  0.      ,  0.211578, -0.123776, -0.012688]",0.010249538148760694,0.6222326637203802,False
14,-0.8359688158615414,0.059228646302445905,0.125,"[-0.050415,  0.194118, -0.056079,  0.015687,  0.115771, -0.313544,
  0.      ,  0.2145  , -0.123045, -0.011717]",0.007248059788535252,0.6022986182822078,False
15,-0.835974539445248,0.05404250533029067,0.125,"[-0.047564,  0.193521, -0.059472,  0.014386,  0.119832, -0.313082,
  0.      ,  0.215618, -0.123584, -0.0115  ]",0.006322642688484995,0.8325442671140451,False
16,-0.8360279823444149,0.041893361749108515,0.125,"[-0.047211,  0.194503, -0.057639,  0.014674,  0.12096 , -0.315502,
  0.      ,  0.215015, -0.12422 , -0.011998]",0.003560284862041669,0.6009238979164828,False
17,-0.8360804718338771,0.015526056830482722,0.0625,"[-0.048468,  0.194848, -0.056527,  0.015373,  0.119289, -0.31643 ,
  0.      ,  0.214497, -0.124079, -0.012236]",0.0027234361979628506,0.13735102957185052,False
18,-0.836082869599368,0.013701038298807786,0.125,"[-0.048404,  0.194288, -0.057218,  0.015826,  0.117581, -0.316113,
  0.      ,  0.21422 , -0.123604, -0.012189]",0.0020791577271898156,0.7787258969968367,False
19,-0.8360836285634937,0.013235728339580565,0.125,"[-0.048193,  0.193991, -0.057401,  0.015729,  0.117797, -0.315548,
  0.      ,  0.214014, -0.12347 , -0.01204 ]",0.0007902976656602068,0.9332300807131795,False
20,-0.8360854133284585,0.010480386683523548,0.125,"[-0.0484  ,  0.194284, -0.056844,  0.01532 ,  0.119186, -0.315202,
  0.      ,  0.213883, -0.123754, -0.011946]",0.0016618231797863655,0.0,True
21,-0.8360886286742162,0.0064708392045093955,0.125,"[-0.048249,  0.194391, -0.05719 ,  0.015622,  0.118095, -0.31569 ,
  0.      ,  0.213978, -0.123748, -0.01213 ]",0.0013100483354404333,0.3812120348581256,False
22,-0.8360887527057562,0.006259835875797904,0.25,"[-0.048537,  0.194533, -0.056869,  0.015522,  0.118655, -0.316143,
  0.      ,  0.214274, -0.12379 , -0.012215]",0.0009121941524956276,0.935846622687744,False
23,-0.8360893237963976,0.0048280378385757005,0.125,"[-0.048144,  0.194369, -0.057042,  0.015492,  0.118703, -0.316017,
  0.      ,  0.214389, -0.123783, -0.012134]",0.0004999355736174032,0.594860917630446,False
24,-0.8360899654914619,0.002396262323898103,0.125,"[-0.048372,  0.194332, -0.057128,  0.015529,  0.118437, -0.315744,
  0.      ,  0.214328, -0.123753, -0.012057]",0.0004669073627145453,0.2463357184356034,False
25,-0.8360901773726991,0.00112856334943813,0.125,"[-0.048338,  0.194402, -0.056967,  0.015518,  0.118508, -0.315727,
  0.      ,  0.214181, -0.123754, -0.012095]",0.0002456613998397887,0.22181104384834058,False
26,-0.8360902095919235,0.000629118412621758,0.125,"[-0.048312,  0.194397, -0.057058,  0.015516,  0.118545, -0.315764,
  0.      ,  0.214119, -0.123765, -0.012116]",0.0001265546472101027,0.3107512666135648,False
