k,f_value,grad_norm,step_size,x,step_norm,rho,update
0,104.069046875,70.17892380888051,,"[-1.5, -2.4,  2.5,  0. ,  0. ,  0. ,  0. ,  0. ,  0. ,  0. ]",,,
1,20.68686995778232,25.472039514761022,0.0625,"[ 0.0675  , -0.991875, -1.342207,  0.      ,  0.09375 , -0.13125 ,
  0.      ,  0.05    , -0.0875  ,  0.      ]",4.386182738055032,0.0026533881858750944,updated
2,8.727182563696196,15.913024752666123,0.125,"[ 0.387072,  1.000543, -0.899826,  0.010529,  0.166771, -0.310306,
  0.      ,  0.143438, -0.16816 , -0.00804 ]",2.078547522417195,0.02173838550957642,updated
3,6.705170448448208,14.863390653857389,0.5,"[-0.433129,  0.815376, -0.781989,  0.050698,  0.071514, -0.516314,
  0.      ,  0.393043, -0.11133 , -0.04055 ]",0.9168520299813471,0.07117100251455309,updated
4,1.279403436243913,5.744717741825269,0.25,"[-0.16989 , -0.181338,  0.060945,  0.068225,  0.024366, -0.721424,
  0.      ,  0.740582, -0.056601, -0.056053]",1.3935171381080886,0.04455885137226625,updated
5,0.17320727954908685,4.7648392367982,0.25,"[-0.189071, -0.155856,  0.092964, -0.027653,  0.214559, -0.275898,
  0.      ,  0.307362, -0.167727,  0.025609]",0.6727548073502853,0.34634774945456853,updated
6,-0.123960990056882,3.837469094717208,0.25,"[-0.127348, -0.020459,  0.052729,  0.045133, -0.042484, -0.173826,
  0.      ,  0.007618, -0.052977, -0.03357 ]",0.46050466377529464,0.5274123945285356,updated
7,-0.6412350415706964,1.8332510438453191,0.5,"[-0.026006,  0.23096 , -0.077134,  0.050039,  0.15692 , -0.404623,
  0.      ,  0.038053, -0.079901, -0.066913]",0.4314657235273425,0.5277179398672512,updated
8,-0.7048606831836488,1.7309622966821723,0.25,"[-0.000544,  0.302644, -0.111438,  0.015135,  0.088076, -0.300725,
  0.      ,  0.261217, -0.179529,  0.020145]",0.3017004751325304,1.2919683130968853,updated
9,-0.7296906104735819,1.4578302544869652,0.5,"[-0.023368,  0.257005, -0.086231, -0.016027,  0.130238, -0.251824,
  0.      ,  0.29809 , -0.054209, -0.02069 ]",0.1646550340559317,3.279376272051312,updated
10,-0.7965373459399057,0.9449238518664447,0.5,"[-0.077286,  0.128642, -0.025118,  0.014214,  0.129929, -0.330608,
  0.      ,  0.190158, -0.115707, -0.02982 ]",0.21390468977146354,2.27456430781895,updated
11,-0.8265208971812283,0.408037608112069,1.0,"[-0.048025,  0.19506 , -0.05726 ,  0.038442,  0.123281, -0.319583,
  0.      ,  0.210052, -0.110496,  0.025942]",0.10288692460644985,9.356072233974382,updated
12,-0.8307788905644928,0.3405318398746594,0.25,"[-0.038846,  0.215622, -0.067436,  0.009782,  0.112439, -0.310529,
  0.      ,  0.221112, -0.134977, -0.022693]",0.0686915545127749,23.54284197772006,updated
13,-0.8355238968657885,0.09681018996728356,1.0,"[-0.048537,  0.193951, -0.056816,  0.005431,  0.116294, -0.318931,
  0.      ,  0.212483, -0.122133, -0.008289]",0.035037694041166474,80.49825855967535,updated
14,-0.8356896184209697,0.08715318960689072,0.25,"[-0.05017 ,  0.19028 , -0.055025,  0.022769,  0.121179, -0.314509,
  0.      ,  0.214128, -0.122831, -0.013625]",0.019875349286047717,302.91032540216634,updated
15,-0.8360901873874672,0.0009191539595231095,1.0,"[-0.048304,  0.194452, -0.057063,  0.015543,  0.11851 , -0.315753,
  0.      ,  0.214158, -0.12379 , -0.012111]",0.009440811962936498,1238.61847870901,updated
