k,f_value,grad_norm,step_size,x1,x2,regularization
0,409.0,1655.0637449959443,,-2.0,2.0,
1,8.955168443874333,6.0296640991978725,1.0,-1.9925186934254142,3.9700747638512834,1.4142134784138174e-06
2,8.751906690178245,97.99428125867647,0.125,-1.6225985895264352,2.4959363245116055,1.4142134784138174e-06
3,6.409115034140353,10.428826018627813,1.0,-1.5301818970414156,2.332915793798498,1.4142134784138174e-06
4,5.6460442588204085,38.207347452008754,0.25,-1.2966129053327369,1.6202449227748708,1.4142136391912852e-06
5,4.596954712709526,18.854393959287787,1.0,-1.122521887423322,1.229747707180167,1.4142136391912852e-06
6,4.135718070976027,37.92819076620735,1.0,-0.8219469162336595,0.5852514230228374,1.414213558802549e-06
7,2.988798253870669,6.372418535385957,1.0,-0.726402268466952,0.5185314762506694,1.414213558802549e-06
8,2.977080587287796,27.505592347113065,0.5,-0.4209262471418584,0.07929891843285047,1.414213558802549e-06
9,1.8298234760068086,3.507138112194227,1.0,-0.35186878176911796,0.11904270586125694,1.414213558802549e-06
10,1.5019955653702362,8.215557909652535,0.25,-0.17888825178473483,-0.0014979568161957446,1.414213558802549e-06
11,1.1071790754832052,5.219157469348853,1.0,-0.025781769687281603,-0.022776895105655042,1.414213558802549e-06
12,0.82053745890936,6.511712061313189,1.0,0.15454948261476492,-0.008633818051048221,1.414213560058623e-06
13,0.5530836824152048,2.541167446856153,1.0,0.2672180404609019,0.05871127688391041,1.414213558802549e-06
14,0.46022102354336797,11.122392744687852,1.0,0.47428635845758615,0.18207026088418704,1.414213558802549e-06
15,0.22257199685846907,0.6749734604613943,1.0,0.5291885449380306,0.2770262655385165,1.414213558802549e-06
16,0.15819490008582948,7.251178136213249,0.5,0.6760554100452452,0.4339739153227288,1.414213558802549e-06
17,0.07199980180610813,0.8002283789395918,1.0,0.7337439929093998,0.5350522740323631,1.414213558802549e-06
18,0.04120234140860956,2.7655056568525307,0.5,0.8136721307203594,0.6540098419531608,1.414213558802549e-06
19,0.015809335164958544,1.874737926939893,1.0,0.885048423795042,0.7782161366279738,1.414213558802549e-06
20,0.004416622306494037,1.2815901443339175,1.0,0.9419856621284356,0.8840951380171186,1.414213558802549e-06
21,0.0006741592052236734,0.503666772122716,1.0,0.9771805863905282,0.9536432153769818,1.414213558802549e-06
22,3.171542898345632e-05,0.14100024922286497,1.0,0.9954691964832568,0.9906244477029911,1.414213558802549e-06
23,1.1323361797278354e-07,0.007559582970348253,1.0,0.9997159067643532,0.9994138596455143,1.414213558802549e-06
24,1.6860750450960601e-12,3.4020796219816136e-05,1.0,0.9999989782588226,0.9999978763862979,1.414213558802549e-06
