function,method,converged,iterations,function_evaluations,gradient_evaluations,hessian_evaluations,x_star,f_star,grad_norm,message
Booth,CG Fletcher-Reeves,True,17,107,18,0,"[1.000075, 2.999937]",1.0260792266718782e-08,0.00025209789896674274,Достигнут критерий остановки по норме градиента.
Booth,Modified Newton,True,1,5,2,1,"[1.      , 2.999999]",3.222221414288666e-12,9.999999348053754e-06,Достигнут критерий остановки по норме градиента.
Booth,BFGS,True,6,24,7,0,"[1.000005, 2.999994]",6.507102529455822e-11,1.9336376045611685e-05,Достигнут критерий остановки по норме градиента.
Sphere,CG Fletcher-Reeves,True,1,6,2,0,"[0., 0.]",0.0,0.0,Достигнут критерий остановки по норме градиента.
Sphere,Modified Newton,True,1,5,2,1,"[-0.000001, -0.000001]",4.4999955008590736e-12,4.242638566203383e-06,Достигнут критерий остановки по норме градиента.
Sphere,BFGS,True,1,6,2,0,"[0., 0.]",0.0,0.0,Достигнут критерий остановки по норме градиента.
Rosenbrock,CG Fletcher-Reeves,True,345,3772,346,0,"[1.000271, 1.000545]",7.432564984084945e-08,0.0009881556529816276,Достигнут критерий остановки по норме градиента.
Rosenbrock,Modified Newton,True,24,84,25,24,"[0.999999, 0.999998]",1.6860750450960601e-12,3.4020796219816136e-05,Достигнут критерий остановки по норме градиента.
Rosenbrock,BFGS,True,23,92,24,0,"[1.000002, 1.000003]",7.85516216287199e-12,9.809910028755774e-05,Достигнут критерий остановки по норме градиента.
Himmelblau,CG Fletcher-Reeves,True,8,69,9,0,"[-2.805108,  3.131305]",5.39751402865351e-09,0.000868841220291627,Достигнут критерий остановки по норме градиента.
Himmelblau,Modified Newton,True,9,31,10,9,"[-2.805118,  3.131313]",3.0296040646252487e-16,1.9822702931562758e-07,Достигнут критерий остановки по норме градиента.
Himmelblau,BFGS,True,8,36,9,0,"[-2.805119,  3.131309]",4.5002907463899084e-10,0.0002687597253076611,Достигнут критерий остановки по норме градиента.
Polynomial10DVariant3,CG Fletcher-Reeves,True,26,157,27,0,"[-0.048312,  0.194397, -0.057058,  0.015516,  0.118545, -0.315764,
  0.      ,  0.214119, -0.123765, -0.012116]",-0.8360902095919235,0.000629118412621758,Достигнут критерий остановки по норме градиента.
Polynomial10DVariant3,Modified Newton,True,4,14,5,4,"[-0.048331,  0.194392, -0.057034,  0.015521,  0.118521, -0.315764,
  0.      ,  0.21415 , -0.123763, -0.012107]",-0.836090224157684,3.632141315002756e-10,Достигнут критерий остановки по норме градиента.
Polynomial10DVariant3,BFGS,True,15,70,16,0,"[-0.048304,  0.194452, -0.057063,  0.015543,  0.11851 , -0.315753,
  0.      ,  0.214158, -0.12379 , -0.012111]",-0.8360901873874672,0.0009191539595231095,Достигнут критерий остановки по норме градиента.
